model,run,seed,clustering,transitivity,triangles,edges,max_degree,components,edges_lost,hub_degree
random,1,111591195,0.03538471090666774,0.035515320334261836,170,1421,19,1,0,9
random,2,1106092767,0.036054084371416245,0.036041666666666666,173,1421,21,1,0,8
random,3,3253293951,0.03544991027471384,0.03596922863677317,173,1421,18,1,0,10
random,4,612749360,0.033956004305614795,0.03325020781379884,160,1421,19,1,0,10
random,5,2812541162,0.03354551030418071,0.03317107093184979,159,1421,19,1,0,12
random,6,4292940797,0.038763656584891344,0.03792250618301731,184,1421,23,1,0,10
random,7,2985672557,0.040354872482377485,0.03901675064687458,191,1421,25,1,0,13
random,8,2239632293,0.0357928573322388,0.035850860420650096,175,1421,21,1,0,8
random,9,2062578491,0.03466153707600657,0.033616932973645985,162,1421,20,1,0,11
random,10,2824809469,0.03013001067426524,0.03265164644714038,157,1421,21,1,0,7
random,11,2818381665,0.04591778948305936,0.04402730375426621,215,1421,24,1,0,14
random,12,746551568,0.036954004084135635,0.03654280435228906,178,1421,21,1,0,10
random,13,982580838,0.03768523773916583,0.03857525957505329,187,1421,22,1,0,17
random,14,3046406386,0.03311786966323073,0.034358170291090055,168,1421,20,1,0,9
random,15,3650053969,0.03999462878736609,0.036875,177,1421,19,1,0,11
random,16,4153735977,0.037232567821444566,0.03774739849010406,185,1421,23,1,0,9
random,17,1208526865,0.03926386253844313,0.038755980861244016,189,1421,20,1,0,7
random,18,1288027912,0.03756570022455058,0.03759553811196034,182,1421,20,1,0,10
random,19,3523227050,0.0353789128688258,0.03628784254766623,177,1421,20,1,0,11
random,20,1640042217,0.03771472917257585,0.03804496846723334,185,1421,21,1,0,4
random,21,2017664364,0.03499107053973994,0.034924814635160416,168,1421,20,1,0,14
random,22,3067146232,0.035092375215152426,0.03564190369697393,170,1421,21,1,0,7
random,23,1563811713,0.0367819760262563,0.0371900826446281,180,1421,19,1,0,12
random,24,3545137405,0.036977370636601,0.037037037037037035,177,1421,22,1,0,12
random,25,3778080367,0.03457001697520972,0.03550910223575829,171,1421,19,1,0,10
random,26,4171466344,0.0336804413287296,0.033527696793002916,161,1421,19,1,0,9
random,27,3154162240,0.03797751260895744,0.038417001566650774,188,1421,19,2,0,12
random,28,3851639337,0.03478679257702628,0.03565505804311774,172,1421,19,1,0,14
random,29,3302561882,0.04208264309051156,0.042039542143600415,202,1421,20,1,0,11
random,30,247567543,0.043470076677764084,0.04095139607032058,198,1421,22,1,0,7
random,31,2614861482,0.038552374046556516,0.03681109185441941,177,1421,19,1,0,11
random,32,4003653531,0.035652716978230276,0.03581661891117478,175,1421,20,1,0,16
random,33,793167933,0.03244842768487301,0.03479991763333105,169,1421,20,1,0,15
random,34,2443251590,0.039244431067759294,0.03703957747444955,180,1421,21,1,0,9
random,35,2374167803,0.03957931231489144,0.04020065970313359,195,1421,19,1,0,11
random,36,442468225,0.03863954057117205,0.040329218106995884,196,1421,19,1,0,11
random,37,3576778937,0.036621618004021236,0.03847465720717648,188,1421,25,1,0,7
random,38,3282635025,0.03544562558432974,0.034097869733886885,167,1421,22,1,0,11
random,39,3922425354,0.03908196923419733,0.038424459440848366,186,1421,22,1,0,9
random,40,83101958,0.038064744297490107,0.03844288979704925,185,1421,18,1,0,15
random,41,3009032205,0.0325118152416942,0.03373594335693461,162,1421,18,1,0,7
random,42,2185526313,0.037767471252902286,0.03661280425444876,179,1421,19,1,0,8
random,43,3521840030,0.03067956087705504,0.032181666202284756,154,1421,17,1,0,7
random,44,3479483395,0.031190470179639853,0.032050834438935825,153,1421,21,1,0,11
random,45,1086701606,0.03558429961063216,0.035751403034712116,172,1421,22,1,0,10
random,46,616507226,0.03921454858881511,0.03936953200944313,189,1421,19,1,0,13
random,47,3170577839,0.03288834327243421,0.032788012097882874,159,1421,19,1,0,8
random,48,1092351082,0.03631201748468796,0.038187478381182985,184,1421,19,1,0,11
random,49,4245483018,0.03898847756047295,0.03745395006139992,183,1421,21,1,0,10
random,50,3812470188,0.038644108589677546,0.03684791609163676,178,1421,21,1,0,8
random,51,2620589132,0.04053127188221241,0.04103405826836274,200,1421,20,1,0,10
random,52,948831001,0.03719597470505586,0.037224455843615695,179,1421,20,1,0,6
random,53,2358358723,0.03806973006601937,0.03610685960762488,173,1421,21,1,0,9
random,54,1284204060,0.034199221508237836,0.03388069008522137,163,1421,20,1,0,5
random,55,282527436,0.03869668791326671,0.03689532659196502,180,1421,23,1,0,11
random,56,706709551,0.04129043331578231,0.041500344115622846,201,1421,19,1,0,8
random,57,1599077691,0.04085191988451145,0.04191943289482653,205,1421,21,1,0,9
random,58,3269561836,0.03386469529070751,0.034173282706247844,165,1421,23,1,0,16
random,59,1995435486,0.033506071712026714,0.033839298147890266,162,1421,19,1,0,9
random,60,129461559,0.03785889635270999,0.03897169424312868,190,1421,21,1,0,9
random,61,3529929726,0.03646117024725736,0.03835730664998958,184,1421,20,1,0,6
random,62,3280989724,0.037023788684382615,0.037847790507364976,185,1421,19,1,0,16
random,63,1444972146,0.03352357670656338,0.03439888811674774,165,1421,22,1,0,8
random,64,958281401,0.0331934440821678,0.03472127105875907,169,1421,21,1,0,10
random,65,1884387598,0.036917596566848954,0.0367743268369947,178,1421,24,1,0,9
random,66,4174429470,0.03210790304401642,0.03321339606974813,160,1421,19,1,0,15
random,67,1952626287,0.03799788292389247,0.03880799187267186,191,1421,21,1,0,6
random,68,1489775552,0.0367491396771834,0.03694170029219424,177,1421,19,1,0,11
random,69,2553428271,0.03937285286521351,0.03940310823820657,191,1421,19,1,0,18
random,70,3151053018,0.03702086604028841,0.03676122131203033,181,1421,23,1,0,7
random,71,1243740370,0.032961641482558875,0.03528429257429188,169,1421,21,1,0,11
random,72,2857121306,0.03501079628707575,0.03385864703048655,164,1421,21,1,0,11
random,73,2269094188,0.0345293301885382,0.034820683903252714,167,1421,20,1,0,8
random,74,1914159640,0.037378052273381486,0.03497757847533632,169,1421,19,1,0,10
random,75,3998353165,0.03420220360262385,0.0359950351675631,174,1421,19,1,0,12
random,76,347369919,0.03618208931830105,0.03813998479928142,184,1421,20,1,0,14
random,77,1005024248,0.04041254666792551,0.041029935105714885,196,1421,19,1,0,7
random,78,3429600436,0.03460321816157785,0.03576567317574512,174,1421,21,1,0,14
random,79,2898382788,0.03706280143142367,0.03738254119569658,183,1421,19,1,0,9
random,80,2056448386,0.03851213751432817,0.03586150041220115,174,1421,19,1,0,12
random,81,2442922841,0.03653543056338375,0.037264509005589676,180,1421,20,1,0,9
random,82,4187456874,0.034336562388109816,0.03454934142472933,167,1421,20,1,0,14
random,83,2808889332,0.03581518231656265,0.036751548520302824,178,1421,18,1,0,13
random,84,2854364765,0.0377482910401398,0.039811019245466546,191,1421,19,1,0,7
random,85,3894592680,0.03940108431815242,0.04117203046730255,200,1421,20,1,0,5
random,86,4067351492,0.03275538577479988,0.03280830868697985,159,1421,20,1,0,11
random,87,2327863883,0.036489376391411685,0.036894537959464103,179,1421,22,1,0,8
random,88,1689951653,0.041061516152254805,0.04073515292826773,198,1421,24,1,0,12
random,89,2782876169,0.039138399263467724,0.03703448275862069,179,1421,22,1,0,11
random,90,1506526462,0.03918189895405977,0.03983845574645766,194,1421,20,1,0,6
random,91,3302130202,0.044780376595433984,0.04481017910241339,216,1421,19,1,0,11
random,92,2032191396,0.04036083551736668,0.03916342013532909,191,1421,20,1,0,6
random,93,686005716,0.035828497094438014,0.0370140612076096,179,1421,20,1,0,14
random,94,1283361310,0.040020031704488125,0.04001925324898577,194,1421,19,1,0,5
random,95,2383448213,0.034788645674149986,0.033556583580749845,162,1421,23,1,0,23
random,96,1492752163,0.040274116765940934,0.03746654772524532,182,1421,21,1,0,6
random,97,1416899433,0.0341782371141046,0.03458750431480842,167,1421,22,1,0,7
random,98,3524624672,0.03969189273617524,0.04026984236249742,195,1421,20,1,0,13
random,99,2782432332,0.03735099290251239,0.03878870364069412,190,1421,22,1,0,6
random,100,3249481259,0.03972625105506151,0.037614297589359934,181,1421,21,1,0,12
random,101,1307984252,0.040335250817418226,0.04139061539512329,202,1421,20,1,0,6
random,102,1224679941,0.04025435913449907,0.03985239852398524,198,1421,28,1,0,7
