character,name,url,in_degree,out_degree,in_rank,out_rank,rank_gap
Ms._Marvel,Ms. Marvel,https://en.wikipedia.org/wiki/Ms._Marvel,11,1,46,276,230
Shamrock_(comics),Shamrock (comics),https://en.wikipedia.org/wiki/Shamrock_(comics),0,8,290,88,202
Jeffrey_Mace,Jeffrey Mace,https://en.wikipedia.org/wiki/Jeffrey_Mace,7,1,73,271,198
Solo_(Marvel_Comics),Solo (Marvel Comics),https://en.wikipedia.org/wiki/Solo_(Marvel_Comics),1,12,239,42,197
Quasar_(character),Quasar (character),https://en.wikipedia.org/wiki/Quasar_(character),24,3,13,201,188
Isaiah_Bradley,Isaiah Bradley,https://en.wikipedia.org/wiki/Isaiah_Bradley,0,7,275,99,176
Spider-Bitch_(Ashley_Barton),Spider-Bitch (Ashley Barton),https://en.wikipedia.org/wiki/Spider-Bitch_(Ashley_Barton),2,15,194,21,173
Makkari_(character),Makkari (character),https://en.wikipedia.org/wiki/Makkari_(character),5,1,102,273,171
Gorgon_(Inhuman),Gorgon (Inhuman),https://en.wikipedia.org/wiki/Gorgon_(Inhuman),5,1,100,268,168
Brian_Braddock,Brian Braddock,https://en.wikipedia.org/wiki/Brian_Braddock,1,11,211,46,165
Red_Wolf_(comics),Red Wolf (comics),https://en.wikipedia.org/wiki/Red_Wolf_(comics),1,9,236,72,164
Franklin_Richards_(character),Franklin Richards (character),https://en.wikipedia.org/wiki/Franklin_Richards_(character),13,3,35,186,151
Peggy_Carter,Peggy Carter,https://en.wikipedia.org/wiki/Peggy_Carter,3,0,146,297,151
Doom_2099,Doom 2099,https://en.wikipedia.org/wiki/Doom_2099,1,9,217,67,150
Blue_Diamond_(character),Blue Diamond (character),https://en.wikipedia.org/wiki/Blue_Diamond_(character),1,9,209,64,145
Human_Fly_(character),Human Fly (character),https://en.wikipedia.org/wiki/Human_Fly_(character),0,5,272,128,144
Scarlet_Spider,Scarlet Spider,https://en.wikipedia.org/wiki/Scarlet_Spider,8,3,65,205,140
Firebird_(Marvel_Comics),Firebird (Marvel Comics),https://en.wikipedia.org/wiki/Firebird_(Marvel_Comics),2,12,173,38,135
Stingray_(Marvel_Comics),Stingray (Marvel Comics),https://en.wikipedia.org/wiki/Stingray_(Marvel_Comics),1,7,240,107,133
War_Machine,War Machine,https://en.wikipedia.org/wiki/War_Machine,12,4,42,173,131
Fin_Fang_Foom,Fin Fang Foom,https://en.wikipedia.org/wiki/Fin_Fang_Foom,5,2,98,228,130
